0 0.66905 0.7183551847 0.6727453317 0.7442352006 0.7705522447 0.7677632102 0.6736750099 0.733651172 0.7498609456 0.6722208979 0.7188875646 0.66905 0.6979340485 0.7383234009 0.7499245133 0.7769566945 0.7736988478 0.710250298 0.7591179976 0.7681366706 0.7136750099 0.7402781089 0.498 0.664 0.812 0.728 0.837 0.836 0.65 0.799 0.828 0.732 0.78 0.498 0.57 0.827 0.757 0.844 0.842 0.725 0.827 0.835 0.768 0.803
0.01 0.66905 0.7191100516 0.6721334923 0.7467143425 0.7708541915 0.768049265 0.6773460469 0.7307111641 0.7508939213 0.6809853 0.7198172427 0.66905 0.6990067541 0.7384187525 0.7495748907 0.7767898292 0.7738895511 0.7144616607 0.7604290822 0.7686134287 0.7186253476 0.7363051251 0.498 0.667 0.812 0.727 0.838 0.836 0.653 0.796 0.826 0.734 0.781 0.498 0.572 0.828 0.758 0.844 0.842 0.728 0.827 0.836 0.77 0.799
0.05 0.66905 0.718792213 0.6688676996 0.7530870083 0.7652920143 0.7636948749 0.6869845054 0.7362336114 0.7574493445 0.6960508542 0.7251648788 0.66905 0.6981326977 0.7359952324 0.7594755662 0.7728247914 0.7729837108 0.7222566547 0.7603098927 0.7686928884 0.7300595948 0.7388081049 0.498 0.669 0.81 0.745 0.836 0.834 0.663 0.8 0.827 0.75 0.785 0.498 0.571 0.828 0.774 0.842 0.842 0.732 0.826 0.832 0.782 0.8
0.1 0.66905 0.7183154549 0.670242352 0.7550099325 0.7602622169 0.758291617 0.7047516885 0.7429082241 0.7605085419 0.7139451728 0.7392054033 0.66905 0.6986491855 0.7382042114 0.7598887565 0.7754390147 0.7741597139 0.7370997219 0.7615017878 0.7664282876 0.7453873659 0.7400476758 0.498 0.666 0.811 0.752 0.836 0.833 0.677 0.805 0.83 0.777 0.798 0.498 0.572 0.827 0.779 0.846 0.844 0.75 0.831 0.832 0.798 0.797
0.125 0.66905 0.7181565356 0.6724195471 0.7583234009 0.7508224076 0.7468970997 0.6923480334 0.7377036154 0.7598331347 0.7204529201 0.7411521653 0.66905 0.6970599921 0.7485498609 0.76049265 0.7660786651 0.765856178 0.7383154549 0.7625744934 0.7679777513 0.7461740167 0.7380294001 0.498 0.667 0.812 0.767 0.829 0.825 0.674 0.806 0.829 0.785 0.812 0.498 0.57 0.829 0.794 0.839 0.835 0.759 0.829 0.831 0.807 0.792
0.15 0.66905 0.7174413985 0.6723798172 0.7593087008 0.7501470004 0.746340882 0.6941597139 0.7432260628 0.75609853 0.7331187922 0.7464600715 0.66905 0.6986889154 0.7327771156 0.7496305125 0.7497417561 0.7463885578 0.7474692094 0.747794994 0.7522447358 0.7506555423 0.7441239571 0.498 0.667 0.815 0.776 0.83 0.827 0.678 0.812 0.828 0.797 0.818 0.498 0.572 0.816 0.799 0.823 0.802 0.798 0.816 0.816 0.82 0.807
0.2 0.66905 0.711958681 0.6689471593 0.7580929678 0.7387524831 0.7275168852 0.7294080254 0.7498609456 0.754866905 0.7476599126 0.7331346841 0.66905 0.6974572904 0.7441239571 0.7438696861 0.7455860151 0.7179419944 0.7429558999 0.7456495828 0.7468414779 0.7450695272 0.7351847437 0.498 0.648 0.803 0.783 0.813 0.797 0.733 0.812 0.817 0.811 0.802 0.498 0.571 0.803 0.788 0.806 0.749 0.798 0.804 0.802 0.804 0.801
0.3 0.66905 0.705125149 0.6056734207 0.7063965038 0.6811839491 0.6688835916 0.7003734605 0.7001191895 0.6996821613 0.7020341677 0.6634882797 0.66905 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6655701232 0.498 0.58 0.718 0.576 0.725 0.651 0.752 0.75 0.751 0.748 0.725 0.498 0.5 0.622 0.498 0.622 0.498 0.622 0.621 0.498 0.622 0.63
0.5 0.66905 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.66905 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.498 0.5 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.5 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498
0.75 0.66905 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.66905 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.6690504569 0.498 0.5 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.5 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498 0.498
